FileName,Alpha,CharRuleCount,MCBRuleCount,CharConditionCount,MCBConditionCount
"wine-35","1","31","24","97","84"
"wine-35","0.9","31","24","97","84"
"wine-35","0.8","32","24","102","84"
"wine-35","0.7","34","24","115","84"
"wine-35","0.6","34","24","115","84"
"wine-35","0.5","37","24","134","84"
"wine-35","0.4","37","24","134","84"
"wine-35","0.3","37","24","134","84"
"wine-35","0.2","33","24","111","84"
"wine-35","0.1","33","24","111","84"
"wine-35","0","33","24","111","84"
"iris-35","1","13","13","15","17"
"iris-35","0.9","13","13","15","17"
"iris-35","0.8","13","13","15","17"
"iris-35","0.7","13","13","15","17"
"iris-35","0.6","12","13","13","17"
"iris-35","0.5","13","13","15","17"
"iris-35","0.4","13","13","15","17"
"iris-35","0.3","13","13","14","17"
"iris-35","0.2","13","13","14","17"
"iris-35","0.1","13","13","14","17"
"iris-35","0","13","13","14","17"
"echo-35","1","15","15","18","18"
"echo-35","0.9","15","15","18","18"
"echo-35","0.8","15","15","18","18"
"echo-35","0.7","15","15","18","18"
"echo-35","0.6","15","15","18","18"
"echo-35","0.5","15","15","18","18"
"echo-35","0.4","15","15","18","18"
"echo-35","0.3","15","15","18","18"
"echo-35","0.2","15","15","18","18"
"echo-35","0.1","15","15","18","18"
"echo-35","0","15","15","18","18"
