FileName,Alpha,CharRuleCount,MCBRuleCount,CharConditionCount,MCBConditionCount
"BREAST","0","75","75","404","404"
"BREAST","0.1","75","74","404","403"
"BREAST","0.2","75","74","404","403"
"BREAST","0.3","75","74","404","403"
"BREAST","0.4","73","74","398","403"
"BREAST","0.5","73","74","398","403"
"BREAST","0.6","73","74","398","403"
"BREAST","0.7","74","74","403","403"
"BREAST","0.8","74","74","403","403"
"BREAST","0.9","74","74","403","403"
"BREAST","1","74","74","403","403"
"BREAST","0","14","14","392","392"
"BREAST","0.1","24","24","762","762"
"BREAST","0.2","24","24","762","762"
"BREAST","0.3","24","24","762","762"
"BREAST","0.4","24","24","762","762"
"BREAST","0.5","24","24","762","762"
"BREAST","0.6","24","24","762","762"
"BREAST","0.7","24","24","762","762"
"BREAST","0.8","24","24","762","762"
"BREAST","0.9","24","24","762","762"
"BREAST","1","24","24","762","762"
"BREAST","0","29","29","138","138"
"BREAST","0.1","45","45","233","233"
"BREAST","0.2","45","45","233","233"
"BREAST","0.3","45","45","233","233"
"BREAST","0.4","45","45","233","233"
"BREAST","0.5","45","45","233","233"
"BREAST","0.6","45","45","233","233"
"BREAST","0.7","45","45","233","233"
"BREAST","0.8","45","45","233","233"
"BREAST","0.9","45","45","233","233"
"BREAST","1","45","45","233","233"
"BREAST","0","4","4","14","14"
"BREAST","0.1","23","22","694","596"
"BREAST","0.2","23","22","694","596"
"BREAST","0.3","17","22","562","596"
"BREAST","0.4","16","22","500","596"
"BREAST","0.5","16","22","500","596"
"BREAST","0.6","16","22","500","596"
"BREAST","0.7","16","22","500","596"
"BREAST","0.8","16","22","500","596"
"BREAST","0.9","16","22","500","596"
"BREAST","1","22","22","596","596"
"BREAST","0","29","29","134","134"
"BREAST","0.1","55","55","244","244"
"BREAST","0.2","55","55","244","244"
"BREAST","0.3","55","55","244","244"
"BREAST","0.4","55","55","244","244"
"BREAST","0.5","55","55","244","244"
"BREAST","0.6","55","55","244","244"
"BREAST","0.7","55","55","244","244"
"BREAST","0.8","55","55","244","244"
"BREAST","0.9","55","55","244","244"
"BREAST","1","55","55","244","244"
"BREAST","0","2","2","5","5"
"BREAST","0.1","2","1","5","1"
"BREAST","0.2","2","1","5","1"
"BREAST","0.3","2","1","5","1"
"BREAST","0.4","2","1","5","1"
"BREAST","0.5","2","1","5","1"
"BREAST","0.6","2","2","3","3"
"BREAST","0.7","2","2","3","3"
"BREAST","0.8","2","2","3","3"
"BREAST","0.9","2","2","3","3"
"BREAST","1","2","2","3","3"
"BREAST","0","20","20","95","95"
"BREAST","0.1","46","40","212","185"
"BREAST","0.2","46","40","210","185"
"BREAST","0.3","43","40","196","185"
"BREAST","0.4","43","40","196","185"
"BREAST","0.5","43","40","196","185"
"BREAST","0.6","43","40","196","185"
"BREAST","0.7","43","40","196","185"
"BREAST","0.8","39","40","176","185"
"BREAST","0.9","39","40","177","185"
"BREAST","1","39","40","177","185"
